date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto
2018-06-01,automotivo,295,308.0,-13.0,13.0
2018-07-01,automotivo,341,295.0,46.0,46.0
2018-08-01,automotivo,370,341.0,29.0,29.0
2018-06-01,bebes,223,239.0,-16.0,16.0
2018-07-01,bebes,214,223.0,-9.0,9.0
2018-08-01,bebes,212,214.0,-2.0,2.0
2018-06-01,beleza_saude,875,751.0,124.0,124.0
2018-07-01,beleza_saude,770,875.0,-105.0,105.0
2018-08-01,beleza_saude,835,770.0,65.0,65.0
2018-06-01,brinquedos,190,218.0,-28.0,28.0
2018-07-01,brinquedos,154,190.0,-36.0,36.0
2018-08-01,brinquedos,165,154.0,11.0,11.0
2018-06-01,cama_mesa_banho,764,740.0,24.0,24.0
2018-07-01,cama_mesa_banho,617,764.0,-147.0,147.0
2018-08-01,cama_mesa_banho,655,617.0,38.0,38.0
2018-06-01,categoria_desconhecida,23,42.0,-19.0,19.0
2018-07-01,categoria_desconhecida,47,23.0,24.0,24.0
2018-08-01,categoria_desconhecida,31,47.0,-16.0,16.0
2018-06-01,consoles_games,43,52.0,-9.0,9.0
2018-07-01,consoles_games,49,43.0,6.0,6.0
2018-08-01,consoles_games,59,49.0,10.0,10.0
2018-06-01,cool_stuff,103,175.0,-72.0,72.0
2018-07-01,cool_stuff,115,103.0,12.0,12.0
2018-08-01,cool_stuff,119,115.0,4.0,4.0
2018-06-01,eletronicos,191,231.0,-40.0,40.0
2018-07-01,eletronicos,151,191.0,-40.0,40.0
2018-08-01,eletronicos,119,151.0,-32.0,32.0
2018-06-01,esporte_lazer,419,489.0,-70.0,70.0
2018-07-01,esporte_lazer,460,419.0,41.0,41.0
2018-08-01,esporte_lazer,471,460.0,11.0,11.0
2018-06-01,fashion_bolsas_e_acessorios,87,110.0,-23.0,23.0
2018-07-01,fashion_bolsas_e_acessorios,74,87.0,-13.0,13.0
2018-08-01,fashion_bolsas_e_acessorios,126,74.0,52.0,52.0
2018-06-01,ferramentas_jardim,184,288.0,-104.0,104.0
2018-07-01,ferramentas_jardim,177,184.0,-7.0,7.0
2018-08-01,ferramentas_jardim,136,177.0,-41.0,41.0
2018-06-01,informatica_acessorios,401,453.0,-52.0,52.0
2018-07-01,informatica_acessorios,418,401.0,17.0,17.0
2018-08-01,informatica_acessorios,415,418.0,-3.0,3.0
2018-06-01,malas_acessorios,36,49.0,-13.0,13.0
2018-07-01,malas_acessorios,54,36.0,18.0,18.0
2018-08-01,malas_acessorios,64,54.0,10.0,10.0
2018-06-01,moveis_decoracao,402,597.0,-195.0,195.0
2018-07-01,moveis_decoracao,436,402.0,34.0,34.0
2018-08-01,moveis_decoracao,430,436.0,-6.0,6.0
2018-06-01,moveis_escritorio,76,104.0,-28.0,28.0
2018-07-01,moveis_escritorio,80,76.0,4.0,4.0
2018-08-01,moveis_escritorio,30,80.0,-50.0,50.0
2018-06-01,outras,897,1008.0,-111.0,111.0
2018-07-01,outras,953,897.0,56.0,56.0
2018-08-01,outras,1022,953.0,69.0,69.0
2018-06-01,papelaria,167,130.0,37.0,37.0
2018-07-01,papelaria,190,167.0,23.0,23.0
2018-08-01,papelaria,169,190.0,-21.0,21.0
2018-06-01,perfumaria,186,197.0,-11.0,11.0
2018-07-01,perfumaria,199,186.0,13.0,13.0
2018-08-01,perfumaria,218,199.0,19.0,19.0
2018-06-01,pet_shop,178,136.0,42.0,42.0
2018-07-01,pet_shop,158,178.0,-20.0,20.0
2018-08-01,pet_shop,198,158.0,40.0,40.0
2018-06-01,relogios_presentes,477,625.0,-148.0,148.0
2018-07-01,relogios_presentes,521,477.0,44.0,44.0
2018-08-01,relogios_presentes,411,521.0,-110.0,110.0
2018-06-01,telefonia,216,250.0,-34.0,34.0
2018-07-01,telefonia,221,216.0,5.0,5.0
2018-08-01,telefonia,271,221.0,50.0,50.0
2018-06-01,utilidades_domesticas,577,618.0,-41.0,41.0
2018-07-01,utilidades_domesticas,564,577.0,-13.0,13.0
2018-08-01,utilidades_domesticas,616,564.0,52.0,52.0
