date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto,cenario,modelo
2018-06-01,agro_industria_e_comercio,10,17.84803997641211,-7.84803997641211,7.84803997641211,Sem Pareto (74 categorias),Linear Regression
2018-07-01,agro_industria_e_comercio,27,18.724056265171384,8.275943734828616,8.275943734828616,Sem Pareto (74 categorias),Linear Regression
2018-08-01,agro_industria_e_comercio,18,27.36982149096002,-9.369821490960021,9.369821490960021,Sem Pareto (74 categorias),Linear Regression
2018-06-01,alimentos,24,44.64050109062737,-20.640501090627367,20.640501090627367,Sem Pareto (74 categorias),Linear Regression
2018-07-01,alimentos,64,39.81165528481506,24.18834471518494,24.18834471518494,Sem Pareto (74 categorias),Linear Regression
2018-08-01,alimentos,115,51.97963502735729,63.02036497264271,63.02036497264271,Sem Pareto (74 categorias),Linear Regression
2018-06-01,alimentos_bebidas,11,28.57237071455529,-17.57237071455529,17.57237071455529,Sem Pareto (74 categorias),Linear Regression
2018-07-01,alimentos_bebidas,17,26.710854682241916,-9.710854682241916,9.710854682241916,Sem Pareto (74 categorias),Linear Regression
2018-08-01,alimentos_bebidas,21,26.974406500314217,-5.974406500314217,5.974406500314217,Sem Pareto (74 categorias),Linear Regression
2018-06-01,artes,28,32.75961793484021,-4.7596179348402075,4.7596179348402075,Sem Pareto (74 categorias),Linear Regression
2018-07-01,artes,21,35.39964872369819,-14.399648723698192,14.399648723698192,Sem Pareto (74 categorias),Linear Regression
2018-08-01,artes,18,32.70302265488863,-14.703022654888628,14.703022654888628,Sem Pareto (74 categorias),Linear Regression
2018-06-01,artes_e_artesanato,0,7.6308336191978015,-7.6308336191978015,7.6308336191978015,Sem Pareto (74 categorias),Linear Regression
2018-07-01,artes_e_artesanato,11,9.15816520448061,1.8418347955193894,1.8418347955193894,Sem Pareto (74 categorias),Linear Regression
2018-08-01,artes_e_artesanato,9,14.737621396478062,-5.737621396478062,5.737621396478062,Sem Pareto (74 categorias),Linear Regression
2018-06-01,artigos_de_festas,2,10.006719706543663,-8.006719706543663,8.006719706543663,Sem Pareto (74 categorias),Linear Regression
2018-07-01,artigos_de_festas,2,11.44306064941702,-9.44306064941702,9.44306064941702,Sem Pareto (74 categorias),Linear Regression
2018-08-01,artigos_de_festas,14,12.397909366642125,1.602090633357875,1.602090633357875,Sem Pareto (74 categorias),Linear Regression
2018-06-01,artigos_de_natal,7,16.202898704887048,-9.202898704887048,9.202898704887048,Sem Pareto (74 categorias),Linear Regression
2018-07-01,artigos_de_natal,8,16.807423962840403,-8.807423962840403,8.807423962840403,Sem Pareto (74 categorias),Linear Regression
2018-08-01,artigos_de_natal,10,18.61090233201321,-8.610902332013211,8.610902332013211,Sem Pareto (74 categorias),Linear Regression
2018-06-01,audio,20,31.98542918307794,-11.98542918307794,11.98542918307794,Sem Pareto (74 categorias),Linear Regression
2018-07-01,audio,22,30.51279384496229,-8.512793844962289,8.512793844962289,Sem Pareto (74 categorias),Linear Regression
2018-08-01,audio,26,31.961856185251236,-5.961856185251236,5.961856185251236,Sem Pareto (74 categorias),Linear Regression
2018-06-01,automotivo,295,320.66316085244034,-25.663160852440342,25.663160852440342,Sem Pareto (74 categorias),Linear Regression
2018-07-01,automotivo,341,306.6795146909899,34.32048530901011,34.32048530901011,Sem Pareto (74 categorias),Linear Regression
2018-08-01,automotivo,370,321.05502162270204,48.94497837729796,48.94497837729796,Sem Pareto (74 categorias),Linear Regression
2018-06-01,bebes,223,238.13073550742047,-15.130735507420468,15.130735507420468,Sem Pareto (74 categorias),Linear Regression
2018-07-01,bebes,214,235.19858842249232,-21.19858842249232,21.19858842249232,Sem Pareto (74 categorias),Linear Regression
2018-08-01,bebes,212,228.59512782549427,-16.595127825494274,16.595127825494274,Sem Pareto (74 categorias),Linear Regression
2018-06-01,bebidas,33,50.846810010873014,-17.846810010873014,17.846810010873014,Sem Pareto (74 categorias),Linear Regression
2018-07-01,bebidas,16,46.74512963949746,-30.745129639497463,30.745129639497463,Sem Pareto (74 categorias),Linear Regression
2018-08-01,bebidas,27,37.02511067374871,-10.025110673748713,10.025110673748713,Sem Pareto (74 categorias),Linear Regression
2018-06-01,beleza_saude,875,701.104202071554,173.89579792844597,173.89579792844597,Sem Pareto (74 categorias),Linear Regression
2018-07-01,beleza_saude,770,773.0035202910585,-3.0035202910585213,3.0035202910585213,Sem Pareto (74 categorias),Linear Regression
2018-08-01,beleza_saude,835,770.0168731264785,64.98312687352154,64.98312687352154,Sem Pareto (74 categorias),Linear Regression
2018-06-01,brinquedos,190,234.82385304070704,-44.823853040707036,44.823853040707036,Sem Pareto (74 categorias),Linear Regression
2018-07-01,brinquedos,154,228.7401542962325,-74.7401542962325,74.7401542962325,Sem Pareto (74 categorias),Linear Regression
2018-08-01,brinquedos,165,208.5606457870308,-43.56064578703081,43.56064578703081,Sem Pareto (74 categorias),Linear Regression
2018-06-01,cama_mesa_banho,764,751.128022635301,12.871977364698978,12.871977364698978,Sem Pareto (74 categorias),Linear Regression
2018-07-01,cama_mesa_banho,617,761.7961974219943,-144.7961974219943,144.7961974219943,Sem Pareto (74 categorias),Linear Regression
2018-08-01,cama_mesa_banho,655,710.7554539256962,-55.7554539256962,55.7554539256962,Sem Pareto (74 categorias),Linear Regression
2018-06-01,casa_conforto,16,28.999796476571646,-12.999796476571646,12.999796476571646,Sem Pareto (74 categorias),Linear Regression
2018-07-01,casa_conforto,23,29.553995373120415,-6.553995373120415,6.553995373120415,Sem Pareto (74 categorias),Linear Regression
2018-08-01,casa_conforto,16,32.54534040540966,-16.54534040540966,16.54534040540966,Sem Pareto (74 categorias),Linear Regression
2018-06-01,casa_conforto_2,2,7.368319384877395,-5.368319384877395,5.368319384877395,Sem Pareto (74 categorias),Linear Regression
2018-07-01,casa_conforto_2,3,9.777793016492069,-6.777793016492069,6.777793016492069,Sem Pareto (74 categorias),Linear Regression
2018-08-01,casa_conforto_2,0,12.108920376667811,-12.108920376667811,12.108920376667811,Sem Pareto (74 categorias),Linear Regression
2018-06-01,casa_construcao,71,74.98715215077755,-3.987152150777547,3.987152150777547,Sem Pareto (74 categorias),Linear Regression
2018-07-01,casa_construcao,60,76.34185642587545,-16.34185642587545,16.34185642587545,Sem Pareto (74 categorias),Linear Regression
2018-08-01,casa_construcao,48,71.27109346691213,-23.271093466912134,23.271093466912134,Sem Pareto (74 categorias),Linear Regression
2018-06-01,categoria_desconhecida,23,75.84563970019008,-52.84563970019008,52.84563970019008,Sem Pareto (74 categorias),Linear Regression
2018-07-01,categoria_desconhecida,47,58.16617148728619,-11.166171487286192,11.166171487286192,Sem Pareto (74 categorias),Linear Regression
2018-08-01,categoria_desconhecida,31,62.36961862889075,-31.36961862889075,31.36961862889075,Sem Pareto (74 categorias),Linear Regression
2018-06-01,cds_dvds_musicais,0,7.364123497871333,-7.364123497871333,7.364123497871333,Sem Pareto (74 categorias),Linear Regression
2018-07-01,cds_dvds_musicais,0,9.015198415127088,-9.015198415127088,9.015198415127088,Sem Pareto (74 categorias),Linear Regression
2018-08-01,cds_dvds_musicais,0,10.381979922483879,-10.381979922483879,10.381979922483879,Sem Pareto (74 categorias),Linear Regression
2018-06-01,cine_foto,13,17.167670851718867,-4.167670851718867,4.167670851718867,Sem Pareto (74 categorias),Linear Regression
2018-07-01,cine_foto,7,20.697111113197025,-13.697111113197025,13.697111113197025,Sem Pareto (74 categorias),Linear Regression
2018-08-01,cine_foto,9,19.162789417780004,-10.162789417780004,10.162789417780004,Sem Pareto (74 categorias),Linear Regression
2018-06-01,climatizacao,15,24.03117037687116,-9.03117037687116,9.03117037687116,Sem Pareto (74 categorias),Linear Regression
2018-07-01,climatizacao,17,23.74560348383602,-6.745603483836021,6.745603483836021,Sem Pareto (74 categorias),Linear Regression
2018-08-01,climatizacao,21,25.80455713482661,-4.804557134826609,4.804557134826609,Sem Pareto (74 categorias),Linear Regression
2018-06-01,consoles_games,43,58.73826879736589,-15.73826879736589,15.73826879736589,Sem Pareto (74 categorias),Linear Regression
2018-07-01,consoles_games,49,59.505643745425914,-10.505643745425914,10.505643745425914,Sem Pareto (74 categorias),Linear Regression
2018-08-01,consoles_games,59,61.41764791562309,-2.4176479156230926,2.4176479156230926,Sem Pareto (74 categorias),Linear Regression
2018-06-01,construcao_ferramentas_construcao,113,104.48192382300476,8.518076176995237,8.518076176995237,Sem Pareto (74 categorias),Linear Regression
2018-07-01,construcao_ferramentas_construcao,115,112.51116041668502,2.4888395833149843,2.4888395833149843,Sem Pareto (74 categorias),Linear Regression
2018-08-01,construcao_ferramentas_construcao,162,113.10504687033244,48.894953129667556,48.894953129667556,Sem Pareto (74 categorias),Linear Regression
2018-06-01,construcao_ferramentas_ferramentas,4,16.13322571984827,-12.13322571984827,12.13322571984827,Sem Pareto (74 categorias),Linear Regression
2018-07-01,construcao_ferramentas_ferramentas,12,14.644574632751755,-2.6445746327517554,2.6445746327517554,Sem Pareto (74 categorias),Linear Regression
2018-08-01,construcao_ferramentas_ferramentas,14,18.418322746267222,-4.418322746267222,4.418322746267222,Sem Pareto (74 categorias),Linear Regression
2018-06-01,construcao_ferramentas_iluminacao,44,41.794521804094984,2.205478195905016,2.205478195905016,Sem Pareto (74 categorias),Linear Regression
2018-07-01,construcao_ferramentas_iluminacao,55,45.260812827345944,9.739187172654056,9.739187172654056,Sem Pareto (74 categorias),Linear Regression
2018-08-01,construcao_ferramentas_iluminacao,62,52.35626823002531,9.643731769974693,9.643731769974693,Sem Pareto (74 categorias),Linear Regression
2018-06-01,construcao_ferramentas_jardim,11,24.00554389921672,-13.005543899216718,13.005543899216718,Sem Pareto (74 categorias),Linear Regression
2018-07-01,construcao_ferramentas_jardim,22,23.109248964210565,-1.1092489642105647,1.1092489642105647,Sem Pareto (74 categorias),Linear Regression
2018-08-01,construcao_ferramentas_jardim,23,27.46892253479018,-4.468922534790181,4.468922534790181,Sem Pareto (74 categorias),Linear Regression
2018-06-01,construcao_ferramentas_seguranca,16,27.691060483321053,-11.691060483321053,11.691060483321053,Sem Pareto (74 categorias),Linear Regression
2018-07-01,construcao_ferramentas_seguranca,15,26.687759156920947,-11.687759156920947,11.687759156920947,Sem Pareto (74 categorias),Linear Regression
2018-08-01,construcao_ferramentas_seguranca,25,25.91990182018708,-0.9199018201870786,0.9199018201870786,Sem Pareto (74 categorias),Linear Regression
2018-06-01,cool_stuff,103,214.55629897373365,-111.55629897373365,111.55629897373365,Sem Pareto (74 categorias),Linear Regression
2018-07-01,cool_stuff,115,176.34186603343915,-61.341866033439146,61.341866033439146,Sem Pareto (74 categorias),Linear Regression
2018-08-01,cool_stuff,119,160.8968282032074,-41.896828203207406,41.896828203207406,Sem Pareto (74 categorias),Linear Regression
2018-06-01,dvds_blu_ray,6,12.2428729823514,-6.2428729823514,6.2428729823514,Sem Pareto (74 categorias),Linear Regression
2018-07-01,dvds_blu_ray,1,14.429585508481978,-13.429585508481978,13.429585508481978,Sem Pareto (74 categorias),Linear Regression
2018-08-01,dvds_blu_ray,1,13.644914204727684,-12.644914204727684,12.644914204727684,Sem Pareto (74 categorias),Linear Regression
2018-06-01,eletrodomesticos,65,80.84192354708648,-15.84192354708648,15.84192354708648,Sem Pareto (74 categorias),Linear Regression
2018-07-01,eletrodomesticos,78,73.6022676603352,4.397732339664799,4.397732339664799,Sem Pareto (74 categorias),Linear Regression
2018-08-01,eletrodomesticos,63,78.57042867165364,-15.570428671653644,15.570428671653644,Sem Pareto (74 categorias),Linear Regression
2018-06-01,eletrodomesticos_2,19,27.88588698523381,-8.88588698523381,8.88588698523381,Sem Pareto (74 categorias),Linear Regression
2018-07-01,eletrodomesticos_2,23,28.696282355194853,-5.696282355194853,5.696282355194853,Sem Pareto (74 categorias),Linear Regression
