date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto
2018-06-01,agro_industria_e_comercio,10,8.0,2.0,2.0
2018-07-01,agro_industria_e_comercio,27,10.0,17.0,17.0
2018-08-01,agro_industria_e_comercio,18,27.0,-9.0,9.0
2018-06-01,alimentos,24,44.0,-20.0,20.0
2018-07-01,alimentos,64,24.0,40.0,40.0
2018-08-01,alimentos,115,64.0,51.0,51.0
2018-06-01,alimentos_bebidas,11,25.0,-14.0,14.0
2018-07-01,alimentos_bebidas,17,11.0,6.0,6.0
2018-08-01,alimentos_bebidas,21,17.0,4.0,4.0
2018-06-01,artes,28,34.0,-6.0,6.0
2018-07-01,artes,21,28.0,-7.0,7.0
2018-08-01,artes,18,21.0,-3.0,3.0
2018-06-01,artes_e_artesanato,0,1.0,-1.0,1.0
2018-07-01,artes_e_artesanato,11,0.0,11.0,11.0
2018-08-01,artes_e_artesanato,9,11.0,-2.0,2.0
2018-06-01,artigos_de_festas,2,4.0,-2.0,2.0
2018-07-01,artigos_de_festas,2,2.0,0.0,0.0
2018-08-01,artigos_de_festas,14,2.0,12.0,12.0
2018-06-01,artigos_de_natal,7,6.0,1.0,1.0
2018-07-01,artigos_de_natal,8,7.0,1.0,1.0
2018-08-01,artigos_de_natal,10,8.0,2.0,2.0
2018-06-01,audio,20,21.0,-1.0,1.0
2018-07-01,audio,22,20.0,2.0,2.0
2018-08-01,audio,26,22.0,4.0,4.0
2018-06-01,automotivo,295,308.0,-13.0,13.0
2018-07-01,automotivo,341,295.0,46.0,46.0
2018-08-01,automotivo,370,341.0,29.0,29.0
2018-06-01,bebes,223,239.0,-16.0,16.0
2018-07-01,bebes,214,223.0,-9.0,9.0
2018-08-01,bebes,212,214.0,-2.0,2.0
2018-06-01,bebidas,33,47.0,-14.0,14.0
2018-07-01,bebidas,16,33.0,-17.0,17.0
2018-08-01,bebidas,27,16.0,11.0,11.0
2018-06-01,beleza_saude,875,751.0,124.0,124.0
2018-07-01,beleza_saude,770,875.0,-105.0,105.0
2018-08-01,beleza_saude,835,770.0,65.0,65.0
2018-06-01,brinquedos,190,218.0,-28.0,28.0
2018-07-01,brinquedos,154,190.0,-36.0,36.0
2018-08-01,brinquedos,165,154.0,11.0,11.0
2018-06-01,cama_mesa_banho,764,740.0,24.0,24.0
2018-07-01,cama_mesa_banho,617,764.0,-147.0,147.0
2018-08-01,cama_mesa_banho,655,617.0,38.0,38.0
2018-06-01,casa_conforto,16,21.0,-5.0,5.0
2018-07-01,casa_conforto,23,16.0,7.0,7.0
2018-08-01,casa_conforto,16,23.0,-7.0,7.0
2018-06-01,casa_conforto_2,2,0.0,2.0,2.0
2018-07-01,casa_conforto_2,3,2.0,1.0,1.0
2018-08-01,casa_conforto_2,0,3.0,-3.0,3.0
2018-06-01,casa_construcao,71,79.0,-8.0,8.0
2018-07-01,casa_construcao,60,71.0,-11.0,11.0
2018-08-01,casa_construcao,48,60.0,-12.0,12.0
2018-06-01,categoria_desconhecida,23,42.0,-19.0,19.0
2018-07-01,categoria_desconhecida,47,23.0,24.0,24.0
2018-08-01,categoria_desconhecida,31,47.0,-16.0,16.0
2018-06-01,cds_dvds_musicais,0,0.0,0.0,0.0
2018-07-01,cds_dvds_musicais,0,0.0,0.0,0.0
2018-08-01,cds_dvds_musicais,0,0.0,0.0,0.0
2018-06-01,cine_foto,13,17.0,-4.0,4.0
2018-07-01,cine_foto,7,13.0,-6.0,6.0
2018-08-01,cine_foto,9,7.0,2.0,2.0
2018-06-01,climatizacao,15,14.0,1.0,1.0
2018-07-01,climatizacao,17,15.0,2.0,2.0
2018-08-01,climatizacao,21,17.0,4.0,4.0
2018-06-01,consoles_games,43,52.0,-9.0,9.0
2018-07-01,consoles_games,49,43.0,6.0,6.0
2018-08-01,consoles_games,59,49.0,10.0,10.0
2018-06-01,construcao_ferramentas_construcao,113,125.0,-12.0,12.0
2018-07-01,construcao_ferramentas_construcao,115,113.0,2.0,2.0
2018-08-01,construcao_ferramentas_construcao,162,115.0,47.0,47.0
2018-06-01,construcao_ferramentas_ferramentas,4,5.0,-1.0,1.0
