date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto,cenario,modelo
2018-06-01,agro_industria_e_comercio,10,14.995,-4.994999999999999,4.994999999999999,Sem Pareto (74 categorias),Random Forest
2018-07-01,agro_industria_e_comercio,27,10.66,16.34,16.34,Sem Pareto (74 categorias),Random Forest
2018-08-01,agro_industria_e_comercio,18,28.39,-10.39,10.39,Sem Pareto (74 categorias),Random Forest
2018-06-01,alimentos,24,38.88,-14.880000000000003,14.880000000000003,Sem Pareto (74 categorias),Random Forest
2018-07-01,alimentos,64,36.485,27.515,27.515,Sem Pareto (74 categorias),Random Forest
2018-08-01,alimentos,115,55.31,59.69,59.69,Sem Pareto (74 categorias),Random Forest
2018-06-01,alimentos_bebidas,11,21.37,-10.370000000000001,10.370000000000001,Sem Pareto (74 categorias),Random Forest
2018-07-01,alimentos_bebidas,17,21.075,-4.074999999999999,4.074999999999999,Sem Pareto (74 categorias),Random Forest
2018-08-01,alimentos_bebidas,21,20.765,0.23499999999999943,0.23499999999999943,Sem Pareto (74 categorias),Random Forest
2018-06-01,artes,28,28.36,-0.35999999999999943,0.35999999999999943,Sem Pareto (74 categorias),Random Forest
2018-07-01,artes,21,37.31,-16.310000000000002,16.310000000000002,Sem Pareto (74 categorias),Random Forest
2018-08-01,artes,18,25.375,-7.375,7.375,Sem Pareto (74 categorias),Random Forest
2018-06-01,artes_e_artesanato,0,0.41,-0.41,0.41,Sem Pareto (74 categorias),Random Forest
2018-07-01,artes_e_artesanato,11,0.745,10.255,10.255,Sem Pareto (74 categorias),Random Forest
2018-08-01,artes_e_artesanato,9,7.865,1.1349999999999998,1.1349999999999998,Sem Pareto (74 categorias),Random Forest
2018-06-01,artigos_de_festas,2,3.78,-1.7799999999999998,1.7799999999999998,Sem Pareto (74 categorias),Random Forest
2018-07-01,artigos_de_festas,2,3.205,-1.205,1.205,Sem Pareto (74 categorias),Random Forest
2018-08-01,artigos_de_festas,14,3.48,10.52,10.52,Sem Pareto (74 categorias),Random Forest
